,Open,High,Low,Close,Volume,Turnover
18-Jan-2017,     8403.85,     8460.30,     8397.40,     8417.00,      168867039,         7411.23
19-Jan-2017,     8418.40,     8445.15,     8404.05,     8435.10,      170956149,         7324.14
20-Jan-2017,     8404.35,     8423.65,     8340.95,     8349.35,      208901233,         9014.51
23-Jan-2017,     8329.60,     8404.15,     8327.20,     8391.50,      200993100,         8664.94
24-Jan-2017,     8407.05,     8480.95,     8398.15,     8475.80,      184745781,         8524.17
25-Jan-2017,     8499.45,     8612.60,     8493.95,     8602.75,      301490150,        13901.89
27-Jan-2017,     8610.50,     8672.70,     8606.90,     8641.25,      283905821,        11568.92
30-Jan-2017,     8635.55,     8662.60,     8617.75,     8632.75,      314110760,         9333.49
31-Jan-2017,     8629.45,     8631.75,     8552.40,     8561.30,      537110119,        14721.17
01-Feb-2017,     8570.35,     8722.40,     8537.50,     8716.40,      337797412,        13494.05
02-Feb-2017,     8724.75,     8757.60,     8685.80,     8734.25,      292329202,        11555.02
03-Feb-2017,     8735.15,     8748.25,     8707.75,     8740.95,      196936238,         8193.45
06-Feb-2017,     8785.45,     8814.10,     8770.20,     8801.05,      200403782,         8701.51
07-Feb-2017,     8805.70,     8809.30,     8741.05,     8768.30,      233294532,         9060.63
08-Feb-2017,     8774.55,     8791.25,     8715.00,     8769.05,      225485726,         9110.24
09-Feb-2017,     8795.55,     8821.40,     8724.10,     8778.40,      193282248,         8972.67
10-Feb-2017,     8812.35,     8822.10,     8771.20,     8793.55,      232947341,        10320.17
13-Feb-2017,     8819.80,     8826.90,     8754.20,     8805.05,      211180353,         8659.48
14-Feb-2017,     8819.90,     8820.45,     8772.50,     8792.30,      194133563,         8494.44
15-Feb-2017,     8778.95,     8807.90,     8712.85,     8724.70,      222828919,        10472.37
16-Feb-2017,     8739.00,     8783.95,     8719.60,     8778.00,      190277738,         9695.63
17-Feb-2017,     8883.70,     8896.45,     8804.25,     8821.70,      307526025,        23432.58
20-Feb-2017,     8818.55,     8886.25,     8809.80,     8879.20,      173022362,         7833.53
21-Feb-2017,     8890.75,     8920.80,     8860.95,     8907.85,      181091326,         8863.71
22-Feb-2017,     8931.60,     8960.75,     8905.25,     8926.90,      254677956,        13514.08
23-Feb-2017,     8956.40,     8982.15,     8927.55,     8939.50,      388874096,        17243.08
27-Feb-2017,     8943.70,     8951.80,     8888.65,     8896.70,      195847099,        10388.83
28-Feb-2017,     8898.95,     8914.75,     8867.60,     8879.60,      302722890,        13819.57
01-Mar-2017,     8904.40,     8960.80,     8898.60,     8945.80,      212328974,         9681.99
02-Mar-2017,     8982.85,     8992.50,     8879.80,     8899.75,      225608140,        10075.19
03-Mar-2017,     8883.50,     8907.10,     8860.10,     8897.55,      208915878,         9783.57
06-Mar-2017,     8915.10,     8967.80,     8914.00,     8963.45,      180194586,         8955.06
